FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados
120819;700;;;38,43
120819;800;;;28,99
120819;900;;;33,71
120819;1000;;;57,31
120819;1100;;;45,17
120819;1200;;;33,04
120819;1300;;;37,75
120819;1400;;;37,75
120819;1500;;;39,78
120819;1600;;;79,22
120819;1700;;;134,8
120819;1800;;;159,1
120819;1900;;;997,998
120819;2000;;;120,7
120819;2100;;;91
120819;2200;;;163,8
120819;2300;;;315,5
120820;0;;;401,2
120820;100;;;169,9
120820;200;;;199,6
120820;300;;;249,5
120820;400;;;350,699
120820;500;;;33,05
120820;600;;;21,58
120820;700;;;52,6
120820;800;;;34,4
120820;900;;;53,95
120820;1000;;;18,21
120820;1100;;;51,91
120820;1200;;;43,15
120820;1300;;;37,08
120820;1400;;;19,55
120820;1500;;;606,599
120820;1600;;;943,999
120820;1700;;;
120820;1800;;;
120820;1900;;;
120820;2000;;;
120820;2100;;;999
120820;2200;;;194,9
120820;2300;;;172,7
120821;0;;;140,3
120821;100;;;822,998
120821;200;;;842,998
120821;300;;;30,34
120821;400;;;18,88
120821;500;;;10,11
120821;600;;;33,71
120821;700;;;19,55
120821;800;;;22,25
120821;900;;;26,97
120821;1000;;;24,27
120821;1100;;;22,92
120821;1200;;;20,23
120821;1300;;;24,95
120821;1400;;;19,55
120821;1500;;;23,6
120821;1600;;;24,27
120821;1700;;;33,71
120821;1800;;;66,75
120821;1900;;;471,899
120821;2000;;;842,998
120821;2100;;;113,3
120821;2200;;;94,1
120821;2300;;;54,61
120822;0;;;36,41
120822;100;;;31,01
120822;200;;;19,55
120822;300;;;13,48
120822;400;;;14,16
120822;500;;;875,998
120822;600;;;2,023
120822;700;;;2,697
120822;800;;;471,999
120822;900;;;21,58
120822;1000;;;14,16
120822;1100;;;22,92
120822;1200;;;22,92
120822;1300;;;15,51
120822;1400;;;55,29
120822;1500;;;21,24
120822;1600;;;23,26
120822;1700;;;39,79
120822;1800;;;49,23
120822;1900;;;68,12
120822;2000;;;58
120822;2100;;;37,77
120822;2200;;;126,8
120822;2300;;;546,299
120823;0;;;52,6
120823;100;;;43,16
120823;200;;;46,54
120823;300;;;72,84
120823;400;;;52,6
120823;500;;;49,23
120823;600;;;478,799
120823;700;;;654,198
120823;800;;;104,5
120823;900;;;640,698
120823;1000;;;31,02
120823;1100;;;22,25
120823;1200;;;15,51
120823;1300;;;6,742
120823;1400;;;471,899
120823;1500;;;471,899
120823;1600;;;8,09
120823;1700;;;10,79
120823;1800;;;33,71
120823;1900;;;755,099
120823;2000;;;10,79
120823;2100;;;21,58
120823;2200;;;674,198
120823;2300;;;707,998
120824;0;;;100,5
120824;100;;;120,7
120824;200;;;14,84
120824;300;;;12,81
120824;400;;;17,53
120824;500;;;15,51
120824;600;;;14,84
120824;700;;;15,51
120824;800;;;24,28
120824;900;;;29
120824;1000;;;24,95
120824;1100;;;20,23
120824;1200;;;16,86
120824;1300;;;15,51
120824;1400;;;12,14
120824;1500;;;12,14
120824;1600;;;943,999
120824;1700;;;741,599
120824;1800;;;30,34
120824;1900;;;35,73
120824;2000;;;343,799
120824;2100;;;51,25
120824;2200;;;26,97
120824;2300;;;24,95
120825;0;;;18,21
120825;100;;;14,16
120825;200;;;12,81
120825;300;;;12,81
120825;400;;;13,49
120825;500;;;11,47
120825;600;;;10,79
120825;700;;;20,91
120825;800;;;22,94
120825;900;;;16,86
120825;1000;;;17,53
120825;1100;;;22,25
120825;1200;;;14,16
120825;1300;;;943,999
120825;1400;;;10,79
120825;1500;;;17,53
120825;1600;;;12,14
120825;1700;;;12,47
120825;1800;;;35,73
120825;1900;;;39,78
120825;2000;;;273,1
120825;2100;;;150,4
120825;2200;;;54,61
120825;2300;;;137,6
120826;0;;;172,7
120826;100;;;114
120826;200;;;125,4
120826;300;;;883,999
120826;400;;;38,45
120826;500;;;33,06
120826;600;;;391,299
120826;700;;;863,999
120826;800;;;91
120826;900;;;26,3
